city,lat,Lon,temp,humidity,Wind_speed,Cloudiness,Country_code,Date
lasa,46.62,10.7,15.0,80,3.6,40,IT,1602857065
longyearbyen,78.22,15.64,-3.0,63,5.7,40,SJ,1602857021
cherskiy,68.75,161.3,-2.72,94,1.58,46,RU,1602857065
castro,-24.79,-50.01,20.27,60,3.77,0,BR,1602857066
laramie,41.31,-105.59,1.11,74,9.8,1,US,1602857066
mkushi,-13.62,29.39,28.79,31,4.74,10,ZM,1602857066
waingapu,-9.66,120.26,26.48,72,0.67,89,ID,1602857066
thompson,55.74,-97.86,-4.0,92,6.7,75,CA,1602857066
kommunar,59.62,30.39,5.0,60,5.0,75,RU,1602857067
big rapids,43.7,-85.48,5.56,86,2.6,40,US,1602857067
bethel,41.37,-73.41,15.0,82,2.6,90,US,1602857067
vigrestad,58.57,5.7,12.78,69,1.79,6,NO,1602857067
tuatapere,-46.13,167.68,6.11,82,1.34,96,NZ,1602857067
puerto escondido,15.85,-97.07,24.0,78,2.6,40,MX,1602857067
acapulco,16.86,-99.89,26.0,83,1.5,75,MX,1602856925
hammerfest,70.66,23.68,1.0,100,2.6,75,NO,1602857068
lebu,-37.62,-73.65,14.71,70,1.77,0,CL,1602857068
baker city,44.77,-117.83,5.56,79,3.1,1,US,1602857068
victoria,22.29,114.16,26.67,79,0.45,34,HK,1602857022
boende,-0.22,20.87,31.26,57,1.09,78,CD,1602857068
lagoa,39.05,-27.98,18.52,81,5.94,84,PT,1602857068
padang,-0.95,100.35,26.2,77,1.43,55,ID,1602857068
olinda,-8.01,-34.86,28.06,63,5.37,97,BR,1602857068
natitingou,10.3,1.38,30.0,42,2.6,34,BJ,1602857069
fort-shevchenko,44.51,50.26,16.9,63,5.76,0,KZ,1602857069
kitimat,54.05,-128.65,3.89,95,2.73,100,CA,1602857069
ciudad bolivar,8.12,-63.55,30.13,61,3.75,0,VE,1602857054
atikokan,48.76,-91.62,-1.18,90,1.46,98,CA,1602857069
agar,23.7,76.02,27.95,63,3.19,74,IN,1602856978
butaritari,3.07,172.79,27.74,74,6.16,0,KI,1602857069
redwater,33.36,-94.25,12.78,62,1.5,1,US,1602857070
klaksvik,62.23,-6.59,7.0,81,1.0,99,FO,1602857070
marawi,8.0,124.29,23.33,95,3.13,100,PH,1602857070
yeniseysk,58.45,92.17,-1.1,95,2.43,100,RU,1602857070
yerbogachen,61.28,108.01,-3.79,93,4.97,80,RU,1602857070
jacareacanga,-6.22,-57.75,34.87,43,1.01,40,BR,1602857070
emerald,-23.53,148.17,22.0,53,4.1,0,AU,1602857070
mildura,-34.2,142.15,17.0,100,5.1,90,AU,1602857071
